Ingreso_Hab_Dia (S),ADR_USD (P),Public_Noct_USD (P),Fotos (P),Mascotas (M)
19,19,19,17,True
64,16,14,21,False
48,16,14,21,False
47,13,12,15.5,False
50,10,10,10,False
30,10,10,7,True
56.7,15.7,16.8,12.3,True
165,20.3,22.3,9.6,True
218.8,20.6,22.8,14.9,True
228.6,20.9,24,19.6,True
330.1,24.2,24.4,23.2,True
310.8,26.5,27.7,18.2,True
378,23.6,40,12,False
63,31.5,40,12,False
49.5,21.5,27.5,7.5,False
76,19,19,5,False
86,17.6,25,10,False
80.1,26.3,36,11,False
61,13.8,15,7,False
121.5,13.5,16,10,False
70.5,14.5,15,7,False
17,17,15.5,2.5,False
27,13.5,16,10,False
70,14,14,4,True
12,12,11,4,False
180,20,18,6,True
100,20,18,6,True
87,29,26,9,False
10,10,10,13,True
23,19.7,19,10.7,True
93.9,10,9,6,False
47,9,9,6,False
10,10,9,5,False
18,18,19,8,False
18,18,19,8,False
40,13.5,12,8,False
22,22,19,2,False
165.3,14.5,12.7,7.3,False
269,20.7,17,8,False
303,17.8,17,8,False
25,25,23,6,False
22,22,19.5,6,False
109,16.5,13.5,7,True
105,21,22,6,False
108,12,12,1,False
19,19,17.5,5.5,False
286,13,13,5,False
49.3,10.9,11,6.3,False
155,11,11.5,5.5,False
193,10.6,10,6.5,False
64,32,13,15,True
266,29.6,13,15,True
150,25,13,15,True
95,14,11,13,True
174,17.4,13,15,True
248,16.5,13,15,True
401,23.6,13,15,True
439,18.3,13,15,True
56,18.7,13,15,True
82,14,11.5,19,True
306.4,16.1,20,5,False
203.6,15.7,20,5,False
145,16.1,20,5,False
459,15.3,20,5,False
311,15.6,20,5,False
50,16.7,20,5,False
306.1,14.5,16,4,False
360.3,13.9,16,4,False
16.3,16.3,20,5,False
324,54,48,10,False
80,10,9,2,False
10,10,10,3,False
22,22,20,3,False
22,22,19,3,False
88,22,19,3,False
432,36,35,4,False
116,14.5,10,23,False
11,11,10,8,True
45,15,13,2,False
41,41,40,31,True
15,15,14,3,False
50,50,50,2,False
182.6,18.3,23,14,True
78,26,22,11,False
23,23,26,14,False
41,41,41,1,False
82,41,41,8,False
28,28,27,4,True
247,13,13,7,True
52,13,13,7,True
366.9,14,14,4.5,True
19,19,30,17,False
42,14,15,1,True
32.5,22.5,23,7,False
20,10,10,12,False
17,17,14,3,True
464,16,14,3,True
448,16,14,3,True
10,10,10,8,False
294,14,14,3,True
20,20,16,1,True
62.7,15.7,25,11,False
10,10,9,3,False
158,17.6,18,7,False
60,15,13,1,False
45,15,13,1,False
13,13,12,2,False
32,16,17,8,False
167,19,18.8,6,False
431,27.5,25,4,False
486.2,36.9,55,15,False
440.1,34.6,55,15,False
885.4,39.4,60,18,False
450.7,34.7,47.3,19.5,False
706,43.6,53.5,21.3,False
612.9,42.5,51.8,18.8,False
1147.2,42.8,53.5,21.3,False
762.4,38.3,51.8,18.8,False
1120.5,41,53.5,21.3,False
773.2,43.4,53.5,21.3,False
555.8,42.5,53.5,21.3,False
492,34.1,47,22.5,False
120,60,60,5,True
21,21,22,7,False
110,27.5,34,4,True
182.5,23.5,25,3.5,False
54,18,16,2,False
17,17,16,5,False
10,10,10,1,False
40,10,10,1,False
84,28,28,8,False
60,10,10,6,False
77,11,10,8,True
11,11,10,8,True
11,11,10,8,True
10,10,10,8,True
55.5,23.8,26,3.5,False
10,10,9,20,True
36,36,36,9,False
21,21,19,4,False
83,12.1,10.5,1.5,False
10,10,10,5,False
160,10,10,5,False
10,10,10,5,False
36,12,10,3,False
2232,72,72,13,(en blanco)
2016,72,72,13,(en blanco)
2232,72,72,13,(en blanco)
1090,41,40.5,9.5,(en blanco)
2232,72,72,13,(en blanco)
70,10,10,3,False
128.7,11.7,15,11,False
10,10,9,2,False
8,8,10,7,False
10,10,9,7,False
100,20,19,5,True
105,15,15,14,False
198,99,104,4,False
176,11,11,3,False
26,13,16,5,True
853.5,40.3,37.8,13,False
822.5,47.3,45.5,16.8,False
661.1,39.6,40.7,15.4,False
557.7,28.7,31.6,12,False
574.8,32.3,27.2,11.6,False
187.5,21.4,21.3,9.6,False
125.4,20.2,23.8,11,False
367.3,25.8,32.4,13.4,False
375.1,29.6,30.4,12.2,False
467.4,30.3,34.3,14,False
383.1,31.3,35.8,11.6,False
329.7,33.8,39.8,12.5,False
304.7,34.5,36.6,15.4,False
230.7,19,20.8,8.3,False
376.6,27.8,33.7,17.2,False
397.4,32.9,36.3,16.6,False
152.1,28.1,28.6,9.7,False
211.3,28.4,29.2,13.8,False
294.8,31,30.8,18.1,False
421.9,28.5,33.1,20.9,False
301,24,27.4,14.2,False
266.4,28.5,32.8,19.3,False
186.4,26,28.1,18.3,False
332.2,26.3,29.1,17.8,False
131.5,22,25.8,13.3,False
408,20.1,26.5,14,False
153.3,19.5,21.9,12.6,False
420,14,11,7,False
39.3,17.8,14.8,17.5,False
113.3,15.8,14.3,15.3,False
89.1,19.6,20.6,7.2,False
444.1,26.1,26.8,18.3,False
234.9,17.5,19.6,15.5,False
177.5,15.3,18.8,14.2,False
88.6,15.7,17.5,14.2,False
279.1,16.4,21.3,14.4,True
654.8,18.7,17.7,7.7,False
180.6,27.5,25.4,8,False
171.5,26.1,24,9.5,False
177.9,22.4,22.3,12.5,False
238.9,28.2,30,15,False
517.9,28.3,24.3,12.3,False
587.5,35.3,29,6.5,False
1519.3,57.1,41,8.7,(en blanco)
561,41.7,41.7,9.7,(en blanco)
343.9,30.9,30.7,9.8,False
283.3,19.3,22.5,10.3,False
246.1,18.9,21.2,11.2,False
231.3,16.8,16,10.5,False
576.7,38.6,40.1,11.9,False
548.8,30.7,33.9,11.8,False
457.9,33,36.1,17.4,False
475.4,38.2,41.7,18.8,False
501.9,33.7,41.6,21.6,False
261.4,29.4,40.4,21.9,False
217.1,24.4,36.6,23.8,False
364.7,27.1,37.9,18.3,False
420.5,32.5,35.9,9.5,False
480.2,27,38,22.9,False
420.6,30.2,37.4,21,False
435,20.4,31.7,26.3,False
214.7,21.7,25.3,11.9,False
333.5,28.5,31.7,15,False
634.1,29.5,33.8,15.5,False
356.4,29.7,35.9,16.4,False
359.3,24.3,26.7,14.7,False
347,28.4,34.4,15.3,False
423.3,24.2,30,15.6,False
517.4,26,30.4,16.6,False
407.3,26.6,33.3,14.7,False
439.2,29,34.3,18,False
281.3,28,30.4,14.7,False
301.9,28.7,32.9,17.6,False
490.6,38.6,40.5,11.3,False
400.9,30.6,32.3,10,False
440.3,36.3,39.6,12.7,False
403.5,32.2,35,12.2,False
294.8,43.5,43.9,11.5,False
441.1,44,46,9,False
375.3,28.7,32.4,11.3,False
445.5,30.8,33.8,12.2,False
459,33.6,33.9,10.6,True
426.5,32.4,34,10.8,True
327.4,32.6,32.1,9.8,True
314.6,22.2,22.1,9.4,False
375.7,28.4,36.1,12.9,False
316,41.5,44.8,18.2,False
272.2,42.5,45.9,16.2,False
284.2,31.6,42.4,18.1,False
135.9,33.5,32.3,13,False
138.5,30.3,39.8,14.1,False
383.3,28.8,35.4,13.4,False
367.9,43.2,52.2,18.7,False
483.5,23,32.5,16.5,False
325,33.5,44.1,15.4,False
202.6,34.4,37.8,17.3,False
348.6,38.3,43.5,16.5,False
190,12.9,14,12.5,False
34.2,17.1,16.4,12.8,False
106.8,25,22.5,7.8,False
53.5,14.6,12.8,10.3,False
